                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5468,                  4.268,                 1.3334,                0.00955,                0.32511,                0.04854,                0.02916,                 1.2086,                 4.1021,                 1.0485,             0.00012852,             0.00012852,             0.00012852
                      2,                 1.3758,                 2.9149,                 1.1372,                0.82032,                0.06752,                0.18984,                0.12751,                 1.2756,                  3.452,                 1.0635,             0.00026156,             0.00026156,             0.00026156
                      3,                 1.3443,                 2.2349,                  1.126,                0.77285,                0.16545,                0.27205,                0.16701,                  1.314,                 2.9684,                  1.132,             0.00039192,             0.00039192,             0.00039192
                      4,                  1.261,                 1.8331,                 1.0709,                0.60503,                0.23082,                0.30396,                0.18628,                 1.3008,                 2.6027,                 1.1281,              0.0005196,              0.0005196,              0.0005196
                      5,                  1.288,                   1.76,                 1.0844,                 0.5248,                0.27539,                0.28765,                0.16816,                  1.355,                 2.3909,                 1.1523,             0.00064458,             0.00064458,             0.00064458
                      6,                 1.2411,                 1.5801,                 1.0709,                0.53622,                0.35747,                0.32257,                0.18847,                 1.3417,                 2.0938,                  1.145,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.2342,                 1.5612,                 1.0782,                0.55282,                 0.3464,                0.36085,                0.20709,                 1.3435,                 1.7957,                  1.149,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.2496,                 1.5539,                 1.0672,                 0.5355,                0.39919,                 0.3597,                0.21695,                 1.2845,                 1.7467,                  1.113,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.1863,                 1.4817,                 1.0574,                0.57261,                0.36864,                0.34958,                0.21128,                 1.2854,                 1.8656,                 1.1368,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.2281,                  1.471,                   1.07,                0.58242,                0.42605,                0.38876,                0.23726,                 1.2834,                 1.5821,                 1.1249,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.1802,                 1.3659,                 1.0537,                0.56642,                0.39772,                0.36904,                0.23176,                 1.2703,                 1.9134,                 1.1538,             0.00064331,             0.00064331,             0.00064331
                     12,                   1.18,                 1.3216,                 1.0454,                0.56987,                0.38439,                0.39352,                0.24954,                 1.2783,                 1.7629,                 1.1063,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.1551,                 1.2883,                 1.0426,                0.51675,                0.39486,                0.34012,                0.21248,                 1.2538,                 1.7672,                 1.1097,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.1267,                 1.2688,                  1.029,                0.53654,                0.40903,                0.37038,                0.22748,                 1.2367,                 1.6342,                 1.0994,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.1424,                 1.2594,                 1.0281,                0.55832,                0.42674,                0.39277,                0.24407,                 1.2351,                 1.6397,                 1.0756,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.0986,                 1.2307,                 1.0161,                0.52833,                0.46532,                0.36326,                0.22176,                 1.2206,                 1.5918,                 1.0828,             0.00060797,             0.00060797,             0.00060797
                     17,                   1.11,                 1.1631,                0.99871,                0.57399,                0.42721,                0.37972,                 0.2337,                 1.2372,                 1.6325,                 1.0855,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.1188,                  1.162,                 1.0075,                0.58538,                0.43621,                0.39859,                0.23773,                 1.2984,                 1.6041,                 1.0998,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.0582,                 1.1708,                 1.0083,                 0.5978,                0.41902,                0.40175,                 0.2367,                 1.2591,                 1.5182,                 1.1032,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.1302,                 1.1722,                 1.0093,                0.53847,                0.42384,                0.36914,                0.21844,                  1.269,                 1.5116,                 1.1014,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.0948,                 1.1286,                0.98853,                0.64161,                0.46076,                0.43458,                0.26335,                 1.2295,                 1.4718,                  1.079,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.0567,                 1.1218,                0.99818,                0.64169,                0.41561,                 0.4175,                0.26524,                 1.2179,                 1.5505,                 1.0781,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.0978,                 1.0869,                0.99347,                0.66233,                0.39248,                0.41289,                0.25823,                 1.2271,                 1.4429,                  1.095,             0.00055849,             0.00055849,             0.00055849
                     24,                  1.133,                 1.1041,                0.99338,                0.58198,                0.41864,                0.40767,                0.25091,                 1.2412,                 1.3761,                 1.0945,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.0509,                 1.0676,                0.99543,                0.62384,                 0.4141,                 0.4028,                0.25016,                 1.2239,                 1.3565,                 1.0848,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.0522,                 1.0251,                0.99305,                0.57968,                0.43204,                0.42249,                0.25919,                 1.2332,                 1.3436,                 1.0925,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.0705,                 1.0327,                0.98257,                0.57259,                0.39984,                0.39122,                0.24656,                 1.2311,                  1.441,                 1.0983,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.0744,                 1.0486,                0.98183,                 0.5988,                0.44677,                0.42005,                0.25528,                 1.2242,                 1.3358,                   1.08,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.0269,                0.99943,                0.98067,                 0.6596,                0.47959,                0.48217,                0.29239,                 1.2027,                 1.2832,                 1.0753,             0.00051608,             0.00051608,             0.00051608
                     30,                 0.9996,                0.95863,                0.98306,                0.67363,                 0.4835,                0.47824,                0.28259,                 1.2194,                 1.2347,                 1.0913,             0.00050901,             0.00050901,             0.00050901
                     31,                 1.0197,                0.93543,                0.97102,                0.62966,                0.43921,                0.44187,                 0.2608,                 1.2261,                  1.261,                 1.0864,             0.00050194,             0.00050194,             0.00050194
                     32,                 1.0356,                0.96012,                0.97762,                0.63288,                0.41292,                0.42354,                0.25607,                 1.2454,                 1.2866,                 1.1052,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.0447,                0.98292,                 0.9809,                0.64419,                0.41686,                0.42269,                0.25315,                 1.2406,                 1.3082,                  1.105,              0.0004878,              0.0004878,              0.0004878
                     34,                 1.0223,                0.95398,                0.97573,                0.63188,                0.46857,                0.44799,                0.27235,                 1.2236,                 1.3008,                 1.0972,             0.00048074,             0.00048074,             0.00048074
                     35,                 0.9852,                0.88847,                0.94692,                0.65261,                0.38607,                0.41479,                0.25387,                 1.2459,                 1.3924,                 1.1099,             0.00047367,             0.00047367,             0.00047367
                     36,                0.99932,                0.90252,                0.96734,                 0.6518,                0.41461,                 0.4317,                0.25432,                 1.2103,                 1.3588,                 1.0819,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.0297,                0.90324,                0.96469,                0.61757,                0.45604,                0.43415,                0.26598,                 1.1928,                 1.3361,                 1.0714,             0.00045953,             0.00045953,             0.00045953
                     38,                0.98309,                0.86789,                0.94586,                0.62104,                 0.4799,                 0.4543,                0.27304,                   1.22,                 1.2588,                 1.0789,             0.00045246,             0.00045246,             0.00045246
                     39,                0.96306,                0.85388,                0.95226,                0.66088,                0.47626,                0.45669,                0.28247,                 1.2065,                 1.2652,                 1.0792,             0.00044539,             0.00044539,             0.00044539
                     40,                0.98352,                0.87877,                0.95508,                0.69169,                0.43216,                0.43984,                0.27626,                 1.2036,                 1.2593,                 1.0782,             0.00043832,             0.00043832,             0.00043832
                     41,                0.97017,                0.86052,                0.96228,                0.64931,                0.44674,                0.43919,                0.27512,                 1.1822,                 1.2607,                 1.0735,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.0111,                0.86302,                0.95326,                 0.6355,                 0.4321,                0.43376,                0.26556,                 1.1897,                 1.3009,                 1.0796,             0.00042419,             0.00042419,             0.00042419
                     43,                0.95793,                  0.827,                0.94024,                0.65995,                0.44852,                0.44999,                0.27513,                 1.2067,                 1.2363,                 1.0871,             0.00041712,             0.00041712,             0.00041712
                     44,                0.93402,                0.79077,                0.93638,                0.64559,                0.47897,                0.45807,                0.28884,                 1.2163,                 1.2585,                 1.0936,             0.00041005,             0.00041005,             0.00041005
                     45,                0.95134,                0.82791,                0.94282,                0.72432,                0.40011,                0.45657,                0.28682,                 1.2207,                 1.3295,                 1.0854,             0.00040298,             0.00040298,             0.00040298
                     46,                0.95462,                0.83613,                0.95362,                0.62692,                0.49019,                0.47039,                0.29093,                  1.189,                 1.2255,                 1.0776,             0.00039591,             0.00039591,             0.00039591
                     47,                 0.9526,                0.82517,                0.94403,                0.68839,                0.42191,                0.44936,                0.28388,                 1.2078,                 1.2419,                 1.0771,             0.00038884,             0.00038884,             0.00038884
                     48,                 0.9506,                0.80796,                0.95403,                0.67434,                0.43461,                0.47013,                0.28921,                 1.1842,                 1.2597,                 1.0655,             0.00038178,             0.00038178,             0.00038178
                     49,                0.96975,                0.80046,                0.94112,                0.71266,                0.40813,                0.46051,                0.28454,                 1.1917,                 1.2483,                 1.0601,             0.00037471,             0.00037471,             0.00037471
                     50,                0.92681,                0.80509,                0.94776,                 0.7043,                0.44252,                0.47752,                0.29122,                 1.1831,                 1.1649,                 1.0654,             0.00036764,             0.00036764,             0.00036764
                     51,                0.95186,                0.79343,                0.95132,                0.65249,                0.46722,                0.46846,                0.29819,                 1.1753,                 1.1833,                 1.0686,             0.00036057,             0.00036057,             0.00036057
                     52,                0.91271,                0.76301,                0.93397,                0.64534,                0.44262,                0.45666,                0.28788,                 1.1875,                 1.2164,                 1.0802,              0.0003535,              0.0003535,              0.0003535
                     53,                0.90984,                0.75779,                0.94021,                0.48693,                0.46374,                0.46378,                0.29246,                 1.2131,                 1.2375,                 1.0913,             0.00034643,             0.00034643,             0.00034643
                     54,                0.91702,                0.75777,                0.93288,                0.48203,                0.46193,                0.46199,                  0.296,                 1.1814,                 1.2173,                 1.0686,             0.00033936,             0.00033936,             0.00033936
                     55,                 0.9195,                0.75748,                0.93688,                0.74759,                0.43088,                0.48623,                0.30562,                 1.1809,                 1.2212,                 1.0723,              0.0003323,              0.0003323,              0.0003323
                     56,                0.93698,                0.76245,                0.93423,                0.55688,                0.45201,                0.48151,                 0.3041,                 1.1938,                  1.228,                 1.0878,             0.00032523,             0.00032523,             0.00032523
                     57,                0.91418,                0.73969,                 0.9309,                0.59597,                0.44827,                0.49281,                0.31578,                 1.1757,                 1.1971,                 1.0813,             0.00031816,             0.00031816,             0.00031816
                     58,                0.89908,                0.73047,                0.93814,                0.55862,                0.47477,                0.50106,                0.31946,                 1.1728,                 1.1942,                  1.067,             0.00031109,             0.00031109,             0.00031109
                     59,                0.94268,                 0.7515,                0.92584,                0.69468,                0.46428,                0.48881,                 0.3139,                 1.1862,                 1.1981,                 1.0792,             0.00030402,             0.00030402,             0.00030402
                     60,                0.89138,                0.69913,                 0.9175,                0.76407,                0.41914,                0.49138,                0.31271,                 1.1979,                 1.1603,                 1.0789,             0.00029695,             0.00029695,             0.00029695
                     61,                0.90196,                0.73969,                0.92684,                0.75442,                0.42414,                 0.4839,                0.30481,                 1.2113,                 1.1699,                 1.0884,             0.00028988,             0.00028988,             0.00028988
                     62,                0.89031,                0.69695,                0.91769,                 0.7219,                0.42475,                0.47299,                0.29971,                 1.2161,                 1.1834,                 1.0865,             0.00028282,             0.00028282,             0.00028282
                     63,                0.88823,                 0.7091,                0.91573,                0.45256,                0.47532,                0.46169,                0.29952,                 1.1807,                  1.208,                 1.0679,             0.00027575,             0.00027575,             0.00027575
                     64,                0.88162,                0.70767,                0.91503,                0.51514,                0.44912,                0.45529,                0.28623,                 1.1936,                 1.2204,                 1.0684,             0.00026868,             0.00026868,             0.00026868
                     65,                0.88524,                0.70261,                0.91044,                0.49581,                0.44324,                0.45013,                0.28188,                 1.1784,                 1.2126,                 1.0737,             0.00026161,             0.00026161,             0.00026161
                     66,                0.88693,                0.69206,                0.92391,                0.52663,                0.46458,                0.47671,                0.30437,                 1.1795,                 1.1495,                 1.0804,             0.00025454,             0.00025454,             0.00025454
                     67,                0.87747,                0.68413,                0.91045,                0.73912,                0.44854,                0.48625,                0.31043,                 1.1809,                 1.1565,                  1.085,             0.00024747,             0.00024747,             0.00024747
                     68,                0.86899,                0.68223,                0.90699,                0.48922,                0.50236,                0.49049,                0.30832,                 1.1889,                 1.2034,                 1.0796,              0.0002404,              0.0002404,              0.0002404
                     69,                0.85731,                0.68773,                 0.9133,                0.70444,                0.44897,                 0.4819,                0.30213,                  1.214,                 1.2255,                  1.082,             0.00023334,             0.00023334,             0.00023334
                     70,                 0.8767,                0.69073,                0.91325,                0.69024,                0.48034,                0.48063,                0.31101,                 1.2009,                 1.2072,                 1.0886,             0.00022627,             0.00022627,             0.00022627
                     71,                0.86551,                0.67522,                0.91687,                0.73515,                0.46635,                0.50361,                0.32524,                  1.189,                 1.1516,                 1.0771,              0.0002192,              0.0002192,              0.0002192
